"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Одежда / Женская одежда / Носки, колготки и чулки женские / Носки женские;1;2020-01-04;432382;67114;31001;7,17;22517;5,21;72,63;2484;1074;43,24;51993;2425;4,66;1077923;490680709;94419212;16,14;585099921;2346862;1521683;860197357;64,84;65,32;0;648780;986,4;302;14;10015;589,32;469;4,69;4,76;39,4
Детские товары / Игрушки и игры / Конструкторы / Пластиковый конструктор;2;2020-01-04;869045;197466;26962;3,1;17973;2,07;66,66;2632;755;28,69;93779;1756;1,87;304480;488191259;204258280;29,5;692449539;598243;326779;664570568;54,62;58,94;0;48246937;5100,89;1943;15;349495;2469;1437,5;4,79;4,67;80,3
Аптека / Товары для реабилитации / Товары по уходу за больными / Подгузники для взрослых;1;2020-01-04;5619;1105;1223;21,77;1017;18,1;83,16;171;97;56,73;2252;150;6,66;357231;486331064;36075018;6,91;522406082;443244;98706;151461311;22,27;37,22;85;500000;3305,42;1875;85;8147;1678,94;1540;4,85;4,81;95,0
Одежда / Мужская одежда / Пляжная одежда и плавки мужские;2;2020-01-04;62823;7190;15569;24,78;9581;15,25;61,54;609;292;47,95;4261;395;9,27;101868;485498355;1832607588;79,06;2318105943;268830;182127;274611922;67,75;79,17;20;612746235;11880,63;960;20;612746235;65787,48;1323;4,62;4,75;48,1
Продукты питания / Чай, кофе и какао / Чай / Чай листовой;2;2020-01-04;241268;44138;14997;6,22;12778;5,3;85,2;2109;989;46,89;23928;1288;5,38;838119;484131649;88171049;15,41;572302698;1380804;594581;467401667;43,06;49,43;11;2554631;3752,73;997,5;42;773333;939,96;618,5;4,71;4,77;92,5
Аптека / Товары для гигиены / Презервативы и лубриканты / Лубриканты;2;2020-01-04;60854;8874;4038;6,64;3052;5,02;75,58;725;352;48,55;16290;553;3,39;353990;473963062;16699096;3,4;490662158;498863;147455;131445523;29,56;42,28;0;583218;5200,94;1625,5;15;37041;1419,83;910;4,77;4,62;89,3
Дом и сад / Освещение / Потолочные и подвесные светильники / Настенно-потолочные светильники;2;2020-01-04;353330;46531;26698;7,56;15274;4,32;57,21;2723;992;36,43;39087;1973;5,05;545765;467481203;155705522;24,99;623186725;1164362;630262;653008442;54,13;64;0;16253620;7258,54;3344,5;20;343960;2505,9;1254,5;4,71;4,48;82,7
Бытовая техника / Климатическая техника / Увлажнители воздуха и аромадиффузоры;2;2020-01-04;119705;30358;2671;2,23;2170;1,81;81,24;1283;411;32,03;36554;854;2,34;160654;462901395;155859037;25,19;618760432;156127;61131;143012319;39,15;29,15;0;997736;6558,61;2061,5;25;90400;3980,84;2242,5;4,61;4,41;90,8
Бытовая техника / Климатическая техника / Обогреватели и тепловентиляторы / Обогреватели;2;2020-01-04;92889;18853;4393;4,73;3247;3,5;73,91;1083;340;31,39;24750;760;3,07;112207;461306354;142450177;23,59;603756531;104148;32675;155065832;31,37;27,85;20;2419463;10335,14;5601;20;62387;5814,18;4091;4,6;4,4;91,8
Электроника / Ноутбуки, планшеты и электронные книги / Планшеты;2;2020-01-04;35071;7617;2245;6,4;1587;4,53;70,69;315;141;44,76;1523;337;22,13;26894;461251275;346970113;42,93;808221388;28718;12034;253475175;41,9;32,03;4;2750000;60870,17;29746;114;1500000;21908,12;13312;4,79;4,43;89,5
Аксессуары / Мужские аксессуары / Головные уборы мужские / Шапки и кепки мужские;3;2020-01-04;614491;110933;33936;5,52;22879;3,72;67,42;3259;1335;40,96;71054;2272;3,2;511084;458886107;190418157;29,33;649304264;682101;346102;291489488;50,74;40,04;0;3004480;1673,77;637;27;393750;2068,24;1478;4,65;4,69;69,4
Дом и сад / Хозяйственные товары / Инвентарь для уборки / Салфетки, тряпки и губки для уборки;1;2020-01-04;155474;33081;8766;5,64;6965;4,48;79,45;2333;924;39,61;40334;2171;5,38;1621310;458673192;34144869;6,93;492818061;2551839;1030274;307004323;40,37;47,22;0;507859;1380,96;290;20;269662;576,75;345;4,69;4,72;89,3
Бытовая техника / Крупная бытовая техника / Духовые шкафы;2;2020-01-04;15613;1866;1304;8,35;929;5,95;71,24;193;50;25,91;1084;67;6,18;17315;452348420;248443335;35,45;700791755;22417;10781;312954083;48,09;38,84;235;2208660;69650,44;49001;4420;186495;34172,93;30006;4,76;4,48;93,0
Бытовая техника / Техника для красоты и здоровья / Фены и аксессуары / Фены и фены-щетки;2;2020-01-04;88761;24192;4467;5,03;3186;3,59;71,32;1163;413;35,51;27181;1021;3,76;130014;451909393;90476375;16,68;542385768;208674;91564;428218479;43,88;48,15;2;50233134;11537,91;5565;50;66183;5280,83;3494,5;4,68;4,43;85,2
Бытовая техника / Техника для красоты и здоровья / Триммеры для волос / Триммеры для бороды и усов;2;2020-01-04;31286;10599;971;3,1;776;2,48;79,92;406;163;40,15;15883;401;2,52;108051;451229815;20829547;4,41;472059362;137116;47558;150204061;34,68;38,07;10;5097554;15477,05;6176;20;5097554;9725,16;2131;4,6;4,58;92,8
Электроника / Аксессуары для электроники / Внешние аккумуляторы;2;2020-01-04;75888;25132;5589;7,36;4107;5,41;73,48;1126;459;40,76;13217;1084;8,2;204516;449754560;136709961;23,31;586464521;379835;184417;561595407;48,55;55,72;0;1046799;4930,35;1921;20;175248;4210,78;2271;4,63;4,44;90,2
Строительство и ремонт / Инструменты для ремонта и строительства / Электроинструменты / Шуруповерты;2;2020-01-04;75370;15735;4964;6,59;3236;4,29;65,19;1143;453;39,63;14427;1216;8,43;120218;447637919;160721168;26,42;608359087;162767;78266;382840727;48,08;40,62;2;52968571;14512,79;6125,5;30;107000;6928,82;4920,5;4,71;4,54;87,1
Туризм, рыбалка, охота / Одежда для рыбалки и охоты / Костюмы для рыбалки и охоты;2;2020-01-04;78856;144;20108;25,5;11077;14,05;55,09;487;269;55,24;3159;475;15,04;50484;447181897;355313665;44,28;802495562;105768;73810;537163396;69,78;62,85;74;224000;8401,68;4106;384;152290;11747,99;7354;4,73;4,7;43,3
Бытовая химия и гигиена / Бытовая химия / Средства для стирки / Кондиционеры и ополаскиватели;2;2020-01-04;32162;5667;5705;17,74;4724;14,69;82,8;888;478;53,83;7505;934;12,45;725172;445716190;61608912;12,14;507325102;1076137;385816;270900987;35,85;44,52;14;210293;2447,47;949;99;17346;982,67;719;4,79;4,71;96,1
Одежда / Детская одежда / Одежда для мальчиков / Верхняя одежда для мальчиков;2;2020-01-04;107313;9277;42818;39,9;25662;23,91;59,93;1077;568;52,74;5165;715;13,84;103894;445682477;430832360;49,15;876514837;265371;200303;862999395;75,48;76,63;145;238084;4196,62;2602;150;140348;4967,91;3911,5;4,86;4,75;48,2
Электроника / Телефоны и смарт-часы / Аксессуары для смартфонов и телефонов / Защитные стекла;1;2020-01-04;157579;21224;34465;21,87;23945;15,2;69,48;931;422;45,33;13515;893;6,61;1492157;444052833;41056046;8,46;485108879;2695583;1084764;378232746;40,24;54,2;0;99999999;1589,6;386;13;8897;386,66;255;4,55;4,52;80,6
Электроника / Аксессуары для электроники / Сетевые зарядные устройства;1;2020-01-04;105773;24591;8850;8,37;6395;6,05;72,26;1492;569;38,14;20214;1519;7,51;613553;441469771;95127610;17,73;536597381;1039186;421672;375161005;40,58;50,81;0;52906909;6543,28;865;20;225256;1635,13;803;4,67;4,52;88,8
Одежда / Униформа и рабочая одежда / Медицинская одежда;2;2020-01-04;76239;6015;44240;58,03;31234;40,97;70,6;436;304;69,72;2563;414;16,15;190768;439836786;181520712;29,21;621357498;322162;184586;405384548;57,3;50,66;20;192974;2707,88;1909;32;22794;2809,79;2158,5;4,81;4,77;39,7
Автотовары / Электроника для автомобиля / Видеорегистраторы;2;2020-01-04;14277;1561;3123;21,87;2258;15,82;72,3;614;331;53,91;1650;734;44,48;86347;437938983;82336200;15,83;520275183;165389;86806;581511525;52,49;57,46;10;500000;9647,29;5222,5;20;82207;7503,47;4945;4,64;4,39;87,6
Бытовая техника / Техника для кухни / Печи и грили / Микроволновые печи;1;2020-01-04;26577;3973;1619;6,09;1144;4,3;70,66;354;114;32,2;5993;166;2,77;53819;432912753;108822615;20,09;541735368;106114;63680;540995637;60,01;59,15;100;1400167;22213,86;13130;100;179233;14664,64;10274,5;4,72;4,47;91,7
Дом и сад / Освещение / Потолочные и подвесные светильники / Люстры;2;2020-01-04;166404;28208;6811;4,09;4452;2,68;65,36;1027;294;28,63;19150;460;2,4;127765;426356776;130606342;23,45;556963118;210054;95802;333551425;45,61;49,32;0;1301363;14310,84;7979;119;180966;6173,28;4150;4,7;4,56;87,7
Красота и здоровье / Уход за телом / Средства для душа;2;2020-01-04;92665;15320;9801;10,58;7610;8,21;77,65;2594;1108;42,71;18612;1525;8,19;797377;421595154;53668168;11,29;475263322;1475862;660973;453884990;44,79;55,53;5;111907031;7038,84;1528,5;20;12720;763,45;581,5;4,84;4,67;90,3
Строительство и ремонт / Инструменты для ремонта и строительства / Режущие и пильные инструменты / Электро- и бензопилы цепные;2;2020-01-04;85881;12324;5503;6,41;3337;3,89;60,64;1347;496;36,82;13881;1151;8,29;72475;414956565;127127726;23,45;542084291;140720;76497;496966733;54,36;58,25;8;4965649;17149,89;9627;40;200000;10531,52;7470;4,68;4,48;88,6
Одежда / Детская одежда / Одежда для девочек / Комплекты и костюмы для девочек;2;2020-01-04;472443;72081;66067;13,98;37346;7,9;56,53;2148;1096;51,02;16368;1546;9,45;241916;413753453;182615059;30,62;596368512;703153;517857;968613457;73,65;87,2;11;17172372;1259,66;782;20;1757222;2126,1;1714;4,79;4,71;45,0
Красота и здоровье / Уход за телом / Мыло;1;2020-01-04;130902;22860;15024;11,48;11451;8,75;76,22;2914;1348;46,26;25745;2147;8,34;890026;411833475;74995195;15,4;486828670;1419914;554269;308630194;39,04;47,86;0;274340;2259,74;644;34;274340;683,59;488,5;4,83;4,74;86,1
Бытовая техника / Техника для кухни / Электрические чайники и термопоты / Электрические чайники и самовары;1;2020-01-04;103841;24450;5453;5,25;3894;3,75;71,41;1169;374;31,99;27523;779;2,83;216956;407104716;100873564;19,86;507978280;377819;213483;454204867;56,5;52,24;14;52723782;8185,07;3796;14;49448;3822,74;2372;4,59;4,46;92,5
Дом и сад / Текстиль / Одеяла;1;2020-01-04;98063;18900;7985;8,14;5277;5,38;66,09;879;404;45,96;19398;562;2,9;194112;401392018;98556379;19,71;499948397;195246;65406;204402783;33,5;30,18;33;500000;8199;4032,5;363;163765;4907,34;3242;4,71;4,74;80,2
Одежда / Женская одежда / Одежда женская больших размеров / Платья женские больших размеров;2;2020-01-04;46907;0;30304;64,6;21432;45,69;70,72;1400;1007;71,93;1995;1106;55,44;144040;401313758;183162872;31,34;584476630;227771;132227;359260586;58,05;47,44;14;115411;3261,28;2278;216;115411;3592,81;2604;4,72;4,81;38,8
Обувь / Женская обувь / Домашняя обувь женская;2;2020-01-04;513205;74358;29852;5,82;22829;4,45;76,47;1525;543;35,61;43591;922;2,12;439964;398937422;151088252;27,47;550025674;651123;360055;343638093;55,3;44,4;0;1010702;1562,73;525;38;20000;1412,46;1039;4,72;4,8;40,8
Продукты питания / Выпечка и сладости / Конфеты;2;2020-01-04;112527;22812;9175;8,15;7749;6,89;84,46;1814;717;39,53;12023;1011;8,41;799691;397734237;97437954;19,68;495172191;1317799;628111;340680058;47,66;49,44;20;953115;2519,92;842,5;30;15850;780,45;619;4,79;4,77;96,7
Аксессуары / Путешествия / Багаж / Чемоданы;1;2020-01-04;95364;18212;5814;6,1;4585;4,81;78,86;616;188;30,52;14170;275;1,94;66208;397730491;221302273;35,75;619032764;77926;36806;297459383;47,23;35,31;41;963226;12050,51;6433;100;500000;9984,84;6455;4,74;4,74;67,9
Товары для животных / Товары для кошек / Туалеты и наполнители для кошек / Наполнители для кошачьего туалета;1;2020-01-04;29990;5220;3982;13,28;3166;10,56;79,51;723;413;57,12;5113;671;13,12;336722;392120172;56249146;12,55;448369318;504370;171820;227791517;34,07;44,94;11;970176;5558,68;1965;106;344405;2131,07;1192,5;4,85;4,77;93,6
Одежда / Женская одежда / Домашняя одежда женская / Халаты женские;2;2020-01-04;101454;15208;30549;30,11;20802;20,5;68,09;1162;685;58,95;12695;889;7;189960;390592985;146637467;27,3;537230452;384893;239659;523832805;62,27;60,79;11;192248;2901,97;1667;176;120999;2652,85;2151,5;4,72;4,8;50,2
Электроника / Охранные системы и видеонаблюдение / Камеры видеонаблюдения;1;2020-01-04;37528;3902;7318;19,5;4730;12,6;64,64;752;410;54,52;2210;1056;47,78;123929;390577150;307260050;44,03;697837200;221517;112001;498882212;50,56;53,62;4;1000000;10639,66;6363,5;20;1000000;5864,97;3632;4,68;4,33;89,7
Дом и сад / Освещение / Напольные и настольные светильники / Настольные лампы;2;2020-01-04;445949;101863;11084;2,49;7626;1,71;68,8;3263;1030;31,57;91611;2223;2,43;369994;383707025;74987877;16,35;458694902;650961;307570;360592185;47,25;52,78;0;3038338;4049,31;1098;50;344240;2133,22;1413;4,66;4,56;85,2
Дом и сад / Текстиль / Подушки / Подушки для сна;1;2020-01-04;63997;14349;5620;8,78;4040;6,31;71,89;1045;450;43,06;21145;635;3;272861;381393562;53128360;12,23;434521922;357974;133626;208161011;37,33;39,36;50;500000;6405,26;2761;160;44921;2914,41;2061;4,65;4,65;75,0
